301	3	0
55	25	80
56	25	81
57	25	82
58	25	83
59	25	84
59	25	85
60	26	86
59	26	89
58	26	92
58	26	96
57	26	102
57	26	106
56	26	109
56	26	112
55	26	116
54	26	120
53	26	122
52	26	126
51	26	129
51	26	133
50	25	135
49	25	138
49	25	140
47	25	144
45	25	146
45	25	149
45	25	151
44	25	153
43	25	156
42	25	159
40	25	161
39	25	163
37	25	166
36	25	168
36	25	169
35	25	173
32	25	175
31	25	177
31	25	180
30	25	183
30	25	187
29	25	190
28	25	193
28	25	197
26	25	201
26	25	205
26	25	207
25	25	210
25	25	213
23	25	215
23	25	219
23	25	222
21	25	225
21	25	228
20	25	230
19	25	233
17	25	235
15	25	239
15	25	241
14	25	244
11	25	247
11	25	249
11	28	250
11	37	247
11	42	245
11	49	243
11	53	240
11	58	237
11	63	234
14	68	230
15	71	228
15	74	225
15	77	222
15	81	219
15	83	216
16	87	212
18	90	208
18	92	205
18	95	201
18	97	198
18	99	195
19	102	192
21	105	186
21	107	182
21	109	178
21	111	175
21	112	171
21	114	167
23	117	163
23	119	156
23	121	151
23	123	146
23	124	141
24	127	136
25	129	131
25	130	125
25	131	118
25	134	110
25	135	102
25	137	94
25	138	86
30	140	78
35	142	71
46	144	71
56	146	71
65	148	71
72	150	70
78	151	70
84	154	69
88	156	69
92	158	68
96	159	68
101	161	68
106	162	68
110	164	67
114	167	66
117	168	66
120	169	65
124	171	65
126	173	65
130	174	64
133	176	63
137	178	63
140	179	63
142	181	63
144	182	62
147	183	61
149	185	60
153	186	60
156	187	60
158	190	60
160	192	59
163	193	59
165	194	57
167	195	57
170	196	56
172	198	56
175	199	56
176	201	56
178	202	55
180	203	54
182	204	53
185	206	53
187	207	52
188	208	52
191	209	51
193	211	50
194	212	50
196	213	49
198	215	48
200	216	48
202	217	47
203	218	46
204	219	46
207	221	45
209	223	45
211	224	45
212	225	44
214	226	43
215	227	42
217	227	41
220	230	41
221	231	40
222	232	39
224	233	38
225	234	37
227	234	36
230	237	35
231	238	34
232	239	33
234	240	31
235	241	31
236	241	30
238	243	29
239	244	28
242	245	27
243	246	25
244	247	24
245	248	22
247	249	20
248	250	19
250	251	17
251	252	15
253	254	13
254	254	10
255	253	3
254	251	0
254	249	0
254	247	0
253	245	5
253	244	11
253	242	11
253	240	11
252	237	11
252	234	11
252	232	11
252	230	11
251	228	11
251	226	11
251	224	11
250	220	14
250	218	15
250	216	15
249	213	15
249	211	15
249	209	15
249	207	15
248	203	15
248	200	15
247	197	15
247	195	15
247	193	16
247	190	17
246	187	18
246	184	18
245	181	18
245	178	18
245	174	18
245	171	18
244	168	18
244	166	18
244	163	18
243	159	20
243	155	21
243	151	21
243	146	21
243	143	21
242	140	21
242	136	21
242	133	21
241	128	21
241	122	21
241	116	21
240	111	22
240	106	23
240	101	23
239	95	23
239	89	23
239	80	23
238	67	23
237	64	23
237	62	23
235	60	23
234	60	22
233	59	21
232	58	21
231	57	21
230	56	21
228	54	21
227	54	20
226	53	18
226	52	18
224	50	18
223	49	18
221	47	18
220	46	17
219	45	15
218	44	15
217	43	15
215	41	15
214	40	15
213	38	14
212	35	11
211	34	11
210	32	11
209	31	11
207	28	11
206	25	9
204	22	3
203	18	0
202	15	0
201	6	0
200	0	0
197	0	0
195	0	0
194	0	0
193	0	0
192	0	0
191	0	0
190	0	0
188	0	0
185	0	0
184	0	0
183	0	0
182	0	0
181	0	0
179	0	0
177	0	0
176	0	0
174	0	0
172	0	0
171	0	0
169	0	0
167	0	0
166	0	0
165	0	0
163	0	0
161	0	0
158	0	0
156	0	0
155	0	0
